,load_kW,generation_kW,ev_kW,power_kW,flow_kW,energy_kWh
0,0.053,0.0,0.001,0.407,-0.353,3.788
1,0.053,0.0,0.001,0.407,-0.353,3.725
2,0.053,0.0,0.0,0.406,-0.353,3.663
3,0.223,0.0,0.001,0.577,-0.353,3.6
4,0.223,0.0,0.001,0.577,-0.353,3.512
5,0.053,0.0,0.001,0.407,-0.353,3.423
6,0.053,0.0,0.001,0.407,-0.353,3.361
7,0.053,0.0,0.0,0.406,-0.353,3.298
8,0.053,0.0,0.001,0.407,-0.353,3.236
9,0.053,0.0,0.001,0.407,-0.353,3.173
10,0.053,0.0,0.001,0.407,-0.353,3.111
11,0.053,0.0,0.001,0.407,-0.353,3.048
12,0.053,0.0,0.0,0.406,-0.353,2.986
13,0.053,0.0,0.001,0.407,-0.353,2.924
14,0.223,0.0,0.001,0.577,-0.353,2.861
15,0.223,0.0,0.001,0.577,-0.353,2.773
16,0.053,0.0,0.001,0.407,-0.353,2.684
17,0.053,0.0,0.0,0.406,-0.353,2.621
18,0.053,0.0,0.001,0.407,-0.353,2.559
19,0.053,0.0,0.001,0.407,-0.353,2.497
20,0.053,0.0,0.001,0.407,-0.353,2.434
21,0.053,0.0,0.001,0.407,-0.353,2.372
22,0.223,0.0,0.001,0.577,-0.353,2.309
23,0.223,0.0,0.0,0.576,-0.353,2.221
24,0.053,0.0,0.001,0.407,-0.353,2.132
25,0.053,0.0,0.001,0.407,-0.353,2.07
26,0.053,0.0,0.001,0.407,-0.353,2.007
27,0.053,0.0,0.001,0.407,-0.353,1.945
28,0.053,0.0,0.0,0.406,-0.353,1.882
29,0.053,0.0,0.001,0.407,-0.353,1.82
30,0.053,0.0,0.001,0.407,-0.353,1.758
31,0.223,0.0,0.001,0.577,-0.353,1.695
32,0.223,0.0,0.001,0.577,-0.353,1.607
33,0.053,0.0,0.0,0.406,-0.353,1.518
34,0.053,0.0,0.001,0.407,-0.353,1.456
35,0.053,0.0,0.001,0.407,-0.353,1.393
36,0.053,0.0,0.001,0.407,-0.353,1.331
37,0.053,0.0,0.001,0.407,-0.353,1.268
38,0.053,0.0,0.0,0.406,-0.353,1.206
39,0.115,0.1,0.001,0.369,-0.353,1.143
40,0.115,0.1,0.001,0.369,-0.353,1.087
41,0.053,0.1,0.001,0.307,-0.353,1.03
42,0.223,0.1,0.001,0.477,-0.353,0.983
43,0.223,0.1,0.001,0.477,-0.353,0.91
44,0.053,0.1,0.0,0.306,-0.353,0.836
45,0.053,0.3,0.001,0.107,-0.353,0.789
46,0.113,0.3,0.001,0.167,-0.353,0.773
47,0.073,0.3,0.001,0.127,-0.353,0.747
48,0.073,0.3,0.001,0.127,-0.353,0.728
49,0.413,0.3,0.0,0.466,-0.353,0.708
50,0.28300000000000003,0.3,0.001,0.337,-0.353,0.637
51,0.113,0.6,0.001,-0.133,-0.353,0.585
52,0.113,0.6,0.001,-0.133,-0.353,0.605
53,0.213,0.6,0.001,-0.033,-0.353,0.626
54,0.233,0.6,0.0,-0.014,-0.353,0.631
55,0.253,0.6,0.001,0.008,-0.354,0.633
56,2.391,0.6,0.001,2.145,-0.353,0.631
57,2.271,1.0,0.001,1.625,-0.353,0.302
58,0.44299999999999995,1.0,0.001,-0.203,-0.353,0.053
59,0.44299999999999995,1.0,0.0,-0.204,-0.353,0.084
60,0.253,1.0,0.001,-0.393,-0.353,0.115
61,0.245,1.0,0.001,-0.401,-0.353,0.176
62,0.305,1.0,0.001,-0.341,-0.353,0.237
63,0.45899999999999996,1.6,0.001,-0.786,-0.354,0.289
64,0.479,1.6,0.0,-0.767,-0.354,0.41
65,0.7390000000000001,1.6,0.001,-0.506,-0.354,0.528
66,0.8370000000000001,1.6,0.001,-0.408,-0.354,0.605
67,0.655,1.6,0.001,-0.59,-0.354,0.668
68,0.585,1.6,0.001,-0.66,-0.354,0.758
69,0.5720000000000001,2.0,0.001,-1.073,-0.354,0.86
70,0.5720000000000001,2.0,0.0,-1.074,-0.354,1.024
71,0.431,2.0,0.001,-1.214,-0.354,1.189
72,0.431,2.0,0.001,-1.214,-0.354,1.375
73,0.541,2.0,0.001,-1.104,-0.354,1.562
74,0.541,2.0,0.001,-1.104,-0.354,1.731
75,0.311,2.2,0.0,-1.535,-0.354,1.9
76,0.311,2.2,0.001,-1.534,-0.354,2.136
77,0.311,2.2,0.001,-1.534,-0.354,2.371
78,0.053,2.2,0.001,-1.792,-0.354,2.606
79,0.053,2.2,0.001,-1.792,-0.354,2.881
80,0.053,2.2,0.0,-1.793,-0.354,3.156
81,0.053,2.0,0.001,-1.592,-0.354,3.431
82,0.053,2.0,0.001,-1.592,-0.354,3.675
83,0.053,2.0,0.001,-1.592,-0.354,3.919
84,0.223,2.0,0.001,-1.422,-0.354,4.163
85,0.223,2.0,0.0,-1.423,-0.354,4.382
86,0.053,2.0,0.001,-1.592,-0.354,4.6
87,0.053,1.8,0.001,-1.392,-0.354,4.844
88,0.053,1.8,0.001,-1.392,-0.354,5.058
89,0.053,1.8,0.001,-1.392,-0.354,5.271
90,0.053,1.8,0.001,-1.392,-0.354,5.485
91,0.223,1.8,0.0,-1.223,-0.354,5.698
92,0.223,1.8,0.001,-1.222,-0.354,5.886
93,0.053,1.4,0.001,-0.992,-0.354,6.073
94,0.053,1.4,0.001,-0.992,-0.354,6.225
95,0.053,1.4,0.001,-0.992,-0.354,6.378
96,0.053,1.4,0.0,-0.993,-0.354,6.53
97,0.053,1.4,0.001,-0.992,-0.354,6.682
98,0.223,1.4,0.001,-0.822,-0.354,6.834
99,0.223,1.0,0.001,-0.422,-0.354,6.96
100,0.223,1.0,0.001,-0.422,-0.354,7.025
101,0.053,1.0,0.0,-0.593,-0.354,7.09
102,0.053,1.0,0.001,-0.592,-0.354,7.181
103,0.053,1.0,0.001,-0.592,-0.354,7.272
104,0.053,1.0,0.001,-0.593,-0.353,7.363
105,0.053,0.4,0.001,0.008,-0.354,7.453
106,0.053,0.4,0.0,0.007,-0.354,7.452
107,0.053,0.4,0.001,0.008,-0.354,7.451
108,0.053,0.4,0.001,0.008,-0.354,7.45
109,0.223,0.4,0.001,0.178,-0.354,7.449
110,0.223,0.4,0.001,0.178,-0.354,7.422
111,0.053,0.1,0.001,0.307,-0.353,7.395
112,0.053,0.1,0.0,0.306,-0.353,7.347
113,0.053,0.1,0.001,0.307,-0.353,7.3
114,0.053,0.1,0.001,0.307,-0.353,7.253
115,0.053,0.1,0.001,0.307,-0.353,7.206
116,0.053,0.1,0.001,0.307,-0.353,7.159
117,0.223,0.0,0.0,0.576,-0.353,7.112
118,0.223,0.0,0.001,0.577,-0.353,7.023
119,0.053,0.0,0.001,0.407,-0.353,6.935
120,0.053,0.0,0.001,0.407,-0.353,6.872
121,0.053,0.0,0.001,0.407,-0.353,6.81
122,0.053,0.0,0.0,0.406,-0.353,6.747
123,0.053,0.0,0.001,0.407,-0.353,6.685
124,0.053,0.0,0.001,0.407,-0.353,6.623
125,0.053,0.0,0.001,0.407,-0.353,6.56
126,0.053,0.0,0.001,0.407,-0.353,6.498
127,0.34700000000000003,0.0,0.0,0.7,-0.353,6.435
128,0.396,0.0,0.001,0.75,-0.353,6.328
129,0.6759999999999999,0.0,0.001,1.03,-0.353,6.213
130,0.6759999999999999,0.0,0.001,1.03,-0.353,6.055
131,2.9739999999999998,0.0,0.001,3.0,-0.025,5.897
132,0.611,0.0,0.0,0.964,-0.353,5.437
133,0.701,0.0,0.001,1.055,-0.353,5.289
134,0.7609999999999999,0.0,0.001,1.115,-0.353,5.127
135,0.752,0.0,0.001,1.106,-0.353,4.956
136,0.6920000000000001,0.0,0.001,1.046,-0.353,4.786
137,0.922,0.0,0.001,1.276,-0.353,4.626
138,0.721,0.0,0.0,1.074,-0.353,4.43
139,0.6609999999999999,0.0,0.001,1.015,-0.353,4.265
140,0.523,0.0,0.001,0.877,-0.353,4.11
141,0.461,0.0,0.001,0.815,-0.353,3.975
142,0.053,0.0,0.001,0.407,-0.353,3.85
143,0.053,0.0,0.0,0.407,-0.354,3.788
